GlobalId,Name,Text
0ro0PJROD5hvzHX$T4Ptqv,Project Name,. Author: Author; Authorization: Authorization; Description: ViewDefinition[CoordinationView]; Implementation Level: 2;1; Organization: Organization; Originating System: IDEA Architecture 19; Preprocessor Version: 4M BIM IFC Engine; Schema Identifiers: IFC2X3; Time Stamp: 2019-04-15T16:50:12
0SEye1x5H9bvQKffQ4rlbs,The site,. Project: Project Name; Top Elevation: 15.05; Bottom Elevation: -6.66666666666667; Global Top Elevation: 15.05; Global Bottom Elevation: -6.66666666666667; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -38.1139393771845; Global Y: -21.9513063401871; Global Z: -6.66666666666667; Bounding Box Length: 70.7169000578088; Bounding Box Width: 71.2169000578088; Bounding Box Height: 21.7166666666667
2sipsYyLb8pP5DU$Kkc6e_,Level 4,. Project: Project Name; Building: The building; Top Elevation: 9; Bottom Elevation: 5.86; Global Top Elevation: 9; Global Bottom Elevation: 5.86; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -7.47384178245836; Global Y: -4.62336291521416; Global Z: 5.86; Bounding Box Length: 10.3839363264456; Bounding Box Width: 10.485773693399; Bounding Box Height: 3.14
3FzifnYOj2oxRiO2Xj04mc,"Window:1 panel, casement, orthogonal",O1. DST: 0.1; EDP: 2.78456091514092; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: 2.78456091514092; SSL: 12; STR3D: 1; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.3; Bottom Elevation: 6.8; Global Top Elevation: 8.3; Global Bottom Elevation: 6.8; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 2.65906091514092; Global Y: -4.19272457947199; Global Z: 6.8; Bounding Box Length: 0.251000000000001; Bounding Box Width: 1.06591961765604; Bounding Box Height: 1.5
2eU0PhefjCGATQzYFLADeF,"Window:1 panel, casement, orthogonal",O1. DST: 0.1; EDP: 2.78457005733752; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: 2.78457656884559; SSL: 12; STR3D: 1; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.3; Bottom Elevation: 6.8; Global Top Elevation: 8.3; Global Bottom Elevation: 6.8; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 2.65907005733986; Global Y: -3.12680572852835; Global Z: 6.8; Bounding Box Length: 0.25100651150339; Bounding Box Width: 1.06592115092938; Bounding Box Height: 1.5
33BPdtb_T7sPY4lFWnoAGx,"Window:1 panel, casement, orthogonal",O1. DST: 0.1; EDP: -0.271916501487978; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: -0.271916501487978; SSL: 1; STR3D: 0; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.2; Bottom Elevation: 6; Global Top Elevation: 8.2; Global Bottom Elevation: 6; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -0.322416501487978; Global Y: -0.733382669788746; Global Z: 6; Bounding Box Length: 0.101000000000001; Bounding Box Width: 0.721451763983412; Bounding Box Height: 2.2
3vviejvxv03gvipIBSXwrm,"Window:1 panel, casement, orthogonal, 2 adjacent",O1. DST: 0.1; EDP: -2.88689017622593; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: -2.88689017622593; SSL: 16; STR3D: 2; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.2; Bottom Elevation: 6; Global Top Elevation: 8.2; Global Bottom Elevation: 6; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -2.93739017622593; Global Y: -4.19272457947199; Global Z: 6; Bounding Box Length: 0.101000000000001; Bounding Box Width: 3.11498793938398; Bounding Box Height: 2.2
2MDO63Alv2gP9TT9UUJ6iv,"Window:1 panel, casement, orthogonal",O1. DST: 0.1; EDP: -6.11365878148786; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: -6.11331600045868; SSL: 12; STR3D: 1; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.2; Bottom Elevation: 6; Global Top Elevation: 8.2; Global Bottom Elevation: 6; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -6.23915877699612; Global Y: -3.34398064319293; Global Z: 6; Bounding Box Length: 0.251342772045698; Bounding Box Width: 1.28126475921258; Bounding Box Height: 2.2
09ybkQdpP0WhMGIMFHNoBQ,"Window:1 panel, casement, orthogonal",O1. DST: 0.1; EDP: 2.78457921807778; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: 2.7845868810337; SSL: 12; STR3D: 1; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.3; Bottom Elevation: 6.8; Global Top Elevation: 8.3; Global Bottom Elevation: 6.8; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 2.65907921808012; Global Y: -1.62721260187093; Global Z: 6.8; Bounding Box Length: 0.25100766295124; Bounding Box Width: 1.25441064345975; Bounding Box Height: 1.5
3ad7_xVS56jBWJLrKDo2o2,"Window:1 panel, casement, orthogonal",O1. DST: 0.1; EDP: 2.7845868810337; JUF: 1; JUFD: 0.02; JUK: 1; LBM: 0; OTI: OTI; SRP: 2.78459454398962; SSL: 12; STR3D: 1; WDI: WDI; Project: Project Name; Building: The building; Storey: Level 4; Top Elevation: 8.3; Bottom Elevation: 6.8; Global Top Elevation: 8.3; Global Bottom Elevation: 6.8; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 2.65908688103604; Global Y: -0.372803491724284; Global Z: 6.8; Bounding Box Length: 0.25100766295124; Bounding Box Width: 1.25441064345975; Bounding Box Height: 1.5
